name,original_price,special_price,specification,description,original_fragrance,top_notes,middle_notes,base_notes,detail_url,gender,fragrance,brand,ml,discount_rate,price_per_ml
Mercedes Benz Air 三芒星 天空淡香精,2950.0,1650.0,60ml,一开始喷在手腕处，艾草及苦橙味立即散发至鼻腔，很中性的味道，温和又舒服，慢慢地会感觉到广藿香安定的味道，整体感觉是很舒适又沈稳的香。,柑苔调,艾草,当归、苦橙叶,姜黄叶、广藿香,https://www.1976.com.tw/prod/21675,male,柑橘调,Mercedes Benz Air,60.0,44.07,27.5
Carolina Herrera CH Men Pasion 热情男性淡香精 TESTER,3600.0,2250.0,100ml 原厂环保纸盒包装，有瓶盖,Carolina Herrera CH Men Pasion 热情男性淡香精 找到您真正的热情，这是一款大胆的全新男士香水，透过令人振奋的鸢尾花、香草和木质香调的混合，邀请我们体验色彩缤纷的生活。,木质东方调,橙花、粉红胡椒,鸢尾、焚香、雪松,香草、零陵香豆,https://www.1976.com.tw/prod/22853,male,木质调,Carolina Herrera,100.0,37.5,22.5
Dsquared2 Green Wood 心动绿男性淡香水迷你瓶,600.0,250.0,5ml 抹式,,木质调,柠檬、棉衫菊、波旁胡椒,雪松木、香根草、龙血树香脂,莎草、龙涎香、麝香,https://www.1976.com.tw/prod/18343,male,木质调,Dsquared,5.0,58.33,50.0
Penhaligon's Endymion 潘海利根 牧羊少年 古龙水(恩狄米翁),3280.0,2780.0,30ml,一开始主调是薰衣草，柑橘，皂香，香草组成。薰衣草干燥中带点微咸粉甜质感，香草混合淡淡的奶味。香水的脂粉味浓郁，但好在有柑橘的香气，使得甜蜜气息中有一丝明亮。牧羊少年给我的感觉就像是仗着自己的美貌，肆无忌惮享受颜值的宠儿，那么的想亲近但又不容许亵玩的体验。,东方清新调,佛手柑、橘子、薰衣草、鼠尾草,天竺葵、咖啡精华,岩兰草、肉豆蔻、黑胡椒、小豆蔻、麝香、皮革、檀香、薰香、乳香、没药,https://www.1976.com.tw/prod/7012,male,清新调,Penhaligon's,30.0,15.24,92.67
Vince Camuto 文斯卡穆托都会经典男性淡香水(黑色外盒),2750.0,1490.0,100ml,一直很喜欢木调香，但女香的木调款真的不好找，再1976也没找到这款的同名女对香，索性给他试一下男香~!!整体味道有种冷冽带著神秘有沉著内歛的感觉，就算是女生使用，也能有种很独特的性感气质，还带著一种聪明干练的感觉。,木质东方调,义大利佛手柑、橘子、黑胡椒,薰衣草、肉豆蔻、鸢尾花、皮革,琥珀木、檀香、香根草、广藿香、麝香,https://www.1976.com.tw/prod/11567,male,木质调,Vince Camuto,100.0,45.82,14.9
Loewe Esencia 黑色圆舞曲男性淡香水,4030.0,2650.0,50ml,LOEWE在1988年推出 Esencia 罗威风采男性淡香水 ，新鲜而辛辣的香气，却以非常优雅的方式呈现，喜欢经典香水的你，绝对不能错过！,草香清新调,艾蒿、杜松子、薰衣草、青草调、龙蒿、姜黄、佛手柑、柠檬、苦橙叶,枸杞、肉荳蔻、罗勒、茉莉、橙花、铃兰、玫瑰、松树针、天竺葵、黑醋栗,东加豆、皮革、檀香、冷杉、琥珀、广藿香、麝香、橡木、香根草、雪松、芝麻,https://www.1976.com.tw/prod/15043,male,清新调,Loewe,50.0,34.24,53.0
Marina De Bourbon Le Prince Gentleman 绅士王子男性淡香精,3300.0,1580.0,100ml,柑橘的香气和精心挑选的香料和木香调交织，展现了男性的强度和沉稳。,木质花香调,凤梨、佛手柑、小荳蔻,仙客来、橙花、茉莉,雪松木、白麝香、琥珀,https://www.1976.com.tw/prod/22989,male,木质调,Marina De Bourbon Le Prince Gentleman,100.0,52.12,15.8
Davidoff Essentials Blue 大卫杜夫蓝色境界男性淡香水,2800.0,950.0,110ml,Davidoff Essentials Blue 大卫杜夫蓝色境界男性淡香水 非常适合日常休闲使用，无论您是出游还是运动。它清新而充满活力的香气散发著勃勃生机，是热爱生活冒险的男士的理想之选。,草香清新调,柑橘、薄荷、薰衣草,茉莉、罗勒、广藿香,琥珀、麝香、雪松,https://www.1976.com.tw/prod/23270,male,清新调,Davidoff,110.0,66.07,8.64
Abercrombie & Fitch First Instinct 同名经典男性淡香水,2900.0,1450.0,100ml,我喜欢那前调的甜味，尽管颇为刺激，在包著大外套的冬季，隐隐透出甜甜暖暖的味道，足以令女孩们为之疯狂...,柑苔调,琴酒、鸡尾酒、奇瓦诺果,紫罗兰、胡椒,雪松、琥珀、檀香,https://www.1976.com.tw/prod/14132,male,柑橘调,Abercrombie & Fitch,100.0,50.0,14.5
Paco Rabanne XS Excess 超越男性淡香水,3300.0,1650.0,100ml,东方调的Paco XS 超越男香流露著一股姜味的温暖辛辣...佛手柑的清新随著时间消逝，渐渐地在檀香的包围下沉淀！这款香水是非常适合东方男性的香水喔！迷迭香搭配薰衣草是一种非常迷人的味道，很像拉丁情人在那边诱惑著妳，希望妳能跟他激情一番！,木质花香调,迷迭香、柑橘、龙蒿、薄荷、佛手柑、柠檬,香菜、杜松、鼠尾草、波旁天竺葵、巴西玫瑰木,琥珀、广藿香、檀香、麝香、香草、橡苔、雪松,https://www.1976.com.tw/prod/3979,male,木质调,Paco Rabanne,100.0,50.0,16.5
Mercedes Benz Sea 三芒星 海洋淡香精,4150.0,1976.0,100ml,三芒星经典香氛系列引领大家进入大自然的嗅觉之旅，如同一望无际的宽阔大海般，吸引对冒险的渴望，海洋带来一股如海浪拍打海岸的清新感受。,柑苔调,柑橘,紫罗兰叶,海藻、广藿香,https://www.1976.com.tw/prod/21674,male,柑橘调,Mercedes Benz Sea,100.0,52.39,19.76
Lalique White 白光时尚型男 男性淡香水,3500.0,1280.0,125ml,微酸清新的柠檬味慢慢进入麝香基底! 很明亮洁白! 有如洗完澡后换上干净的白色衬衫般的感觉! 夏天用最OK!,木质花香调,树脂、柑橘,紫罗兰,麝香、白琥珀、西洋杉,https://www.1976.com.tw/prod/7833,male,木质调,Lalique White,125.0,63.43,10.24
Kenzo Homme Intense 蓝色海洋男性淡香水行动香水,1680.0,499.0,10ml 喷式,虽然以海洋来命名，但是整体感受上相当地木质，气味上有点像le Labo 33，不过这一款更为清新，在无花果的配合下，也带出更多干燥木头下的层次，呈现一种优雅又气质的阳刚氛围，扩香与持香能力也很不错，便宜价格下却拥有沙龙香的层次。,木质调,Calypsone、海洋调、粉红胡椒、辛香料,无花果、无花果树、香根草,檀香木、Akigalawood、广藿香,https://www.1976.com.tw/prod/22642,male,木质调,Kenzo,10.0,70.3,49.9
Givenchy Pour Homme Blue Label 纪梵希牛仔绅士男性淡香水,3000.0,1750.0,100ml,第三罐了，从没想过会有买不到他的一天，这让我只能快点来这里打包几罐回家。因为我可能再也找不到一罐香水，就像是将叶子与枝干处切断之后流出的汁液，揉合了淡淡的甜味但却仍然清新耐闻，带有著奶香的后味但却不腻，持久度高，男女皆爱，像来自大自然的气息。,海洋清新调,橙橘、葡萄柚、海洋草,兰姆、胡椒、豆蔻、苦艾草,香根草、西洋杉、乳香木,https://www.1976.com.tw/prod/2642,male,清新调,Givenchy,100.0,41.67,17.5
Maison Margiela At The Barber's 在理发厅男性淡香水,2800.0,1960.0,30ml,想像一下，黄昏时分，你身著华丽的晚礼服，步入理发店，坐在老式理发皮椅上。剪发师为你理发与剃须。店内有免费的美式咖啡，还有淡淡的烟草气息，以及剃须膏和头发用品，带来的清新麝香和柔和的薰衣草味，仿佛回到了那个经典的时代。这款香水兼具了清新与温暖，令人感到沉稳与松弛感。如同每一次到理发院一般，带给你一段疗愈的时光，为你的日常生活增添一份独特的气息。,草香清新调,比加拉德精华、罗勒、黑胡椒,天竺葵、薰衣草、迷迭香,零陵香豆、艾维尼、白麝香、零陵香豆、白麝香、黑胡椒、迷迭香、罗勒,https://www.1976.com.tw/prod/18970,male,清新调,Maison Margiela,30.0,30.0,65.33
Trussardi Uomo 百年纪念款男性淡香水,2080.0,1080.0,30ml,相当暖的味道，成熟内敛却又不失自信的感觉，中后味相当吸引人，冬天时显得格外出色苔癣和皮革的后味完全衬托出一个人的品味和成熟! 适合正式场合西装、衬衫等打扮非常加分!,柑苔调,义大利柠檬、佛手柑、松香、肉荳蔻,鼠尾草、天竺葵、紫罗兰,广藿香、苔藓调、皮革调,https://www.1976.com.tw/prod/12510,male,柑橘调,Trussardi Uomo,30.0,48.08,36.0
Penhaligon's Endymion 潘海利根 牧羊少年 古龙水行动香氛(恩狄米翁),1800.0,1199.0,10ml,虽然被归类在男香，但女生使用也完全不违和～前调柑橘类的气味很明显，接著转为带有香料感的薰衣草咖啡香，后味木质调与奶香变得更加突出，并融合著肌肤的温度。非常有质感的一款香水！,东方清新调,佛手柑、橘子、薰衣草、鼠尾草,天竺葵、咖啡精华,岩兰草、肉豆蔻、黑胡椒、小豆蔻、麝香、皮革、檀香、薰香、乳香、没药,https://www.1976.com.tw/prod/21658,male,清新调,Penhaligon's,10.0,33.39,119.9
Dunhill X-Centric 登喜路中心点男性淡香水,3680.0,1250.0,100ml 绝版收藏品 2016.12出厂 外盒凹陷无胶膜便宜卖,有点水生带点温暖木质味，每天喷这支也不会腻，可以搭衬衫或是休闲T，正确来说是一年四季都能喷的日常香水,木质花香调,葡萄柚、小荳蔻、香柏、山艾,小苍兰、玫瑰、莲花、白扁柏,檀香、琥珀、广霍香,https://www.1976.com.tw/prod/2635,male,木质调,Dunhill,100.0,66.03,12.5
Givenchy π 纪梵希圆周率男性淡香水,3800.0,2080.0,100ml,第一次用这罐香水就惊为天人。的确是香甜粉味，非常持久约8小时以上，但绝对不会腻人，精美的三角雕花造型，整体瓶身设计令人爱不释手，记忆中只有特殊场合才舍得使用，是香水中的精品。,木质调,罗勒、迷迭香、龙蒿和柑橘,天竺葵、橙花、百合山谷和八角,香草、零陵香、雪松、安息香、杏仁、黄糖,https://www.1976.com.tw/prod/11064,male,木质调,Givenchy,100.0,45.26,20.8
Kenzo Homme 墨竹男性淡香精,2840.0,1976.0,60ml,令人惊奇的创新香调淡香精，先不说它的 惊人持香时间，跟本是野兽等级！ 刚喷下去 是淡淡海味 瞬间闪过一点无花果咸味 ，然后直接进入 深沈浓厚的皮革香气 最后是混著 广霍香的 皮革香 持久而特别 非常令人著迷 ，回头率超高 ，刚喷的第一天 就有 四个人问你的香水好香好特别！！ 值得拥有这瓶经典香精！调香师Quentin Bisch 又再一次 创造 传奇！,海洋清新调,海洋调,皮革,广藿香,https://www.1976.com.tw/prod/20285,male,清新调,Kenzo,60.0,30.42,32.93
Loewe 7 第七乐章男性淡香水,4030.0,2650.0,50ml,Loewe 7真的很特别，今天收到第一次用，就引来朋友的询问。因为真的特别，不想分享，不想和人家撞香，我只能说，这神秘感十足的味道，想要自己去1976香水网，一瓶一瓶试吧。^^,木质东方调,胡椒、红苹果,铃兰、奈若利橙花、焚香,雪松、香根草、麝香,https://www.1976.com.tw/prod/9590,male,木质调,Loewe,50.0,34.24,53.0
Abercrombie & Fitch First Instinct Blue 湛蓝男性淡香水,2900.0,1450.0,100ml,观望许久、终于将它入手，就是它了、我梦想中的男香，特殊的香调让人显得自信，中味的胡椒及后味的檀香，散发出活泼又不失稳重的气质，出门前喷了几下、几乎可以维持到下班，好香水真的可以让人维持好心情。,东方清新调,佛手柑、苹果、荳蔻,迷迭香、薰衣草、胡椒,专利配方AMBERTONIC™、檀香、东加豆,https://www.1976.com.tw/prod/15962,male,清新调,Abercrombie & Fitch,100.0,50.0,14.5
Abercrombie & Fitch First Instinct Blue 湛蓝男性淡香水 TESTER,2900.0,1160.0,100ml 原厂环保纸盒包装，无瓶盖,佛手柑略为轻拂后，薰衣草抢出来当主角，迷迭香和苹果味伴随其中，后味的檀香、东加豆与万宝龙传奇经典男香后调相似，不会浓烈刺鼻有著薰衣草粉感，轻熟男的香水款式适合春秋季节穿它。,东方清新调,佛手柑、苹果、荳蔻,迷迭香、薰衣草、胡椒,专利配方AMBERTONIC™、檀香、东加豆,https://www.1976.com.tw/prod/16649,male,清新调,Abercrombie & Fitch,100.0,60.0,11.6
Givenchy π 纪梵希圆周率男性淡香水 TESTER,3800.0,1750.0,100ml 原厂环保纸盒包装，内容与正货相同,杏仁、迷迭香与八角，乃这款香水的三大主角！初闻会有点刺激性，但在酒精挥发后会带来一股中性干燥的甜气，完全不会有腻感，可以清楚捕捉到香草与杏仁的味道，让他一年四季都可以轻易穿戴！另外气味也非常独特，在其身上不会发现其他商业男香的影子，于人群中能够勇敢地站出来！,木质调,罗勒、迷迭香、龙蒿和柑橘,天竺葵、橙花、百合山谷和八角,香草、零陵香、雪松、安息香、杏仁、黄糖,https://www.1976.com.tw/prod/21717,male,木质调,Givenchy,100.0,53.95,17.5
Trussardi Uomo 百年纪念款男性淡香水 迷你瓶,600.0,280.0,7ml 抹式,很成熟适合三十岁以后的西装族喷的一罐香水，瓶身的质感显得它的成熟带有一点高尚，是种女生拥在怀里会忘不了的味道，肉豆蔻的成分混和烟味会形成一个很特别的味道还可以盖过烟味。,柑苔调,义大利柠檬、佛手柑、松香、肉荳蔻,鼠尾草、天竺葵、紫罗兰,广藿香、苔藓调、皮革调,https://www.1976.com.tw/prod/15413,male,柑橘调,Trussardi Uomo,7.0,53.33,40.0
Dunhill Custom 订制英伦男性淡香水,2850.0,1380.0,100ml,第一次闻有一种在诚品里面逛街会闻到的那种木头家具的味道，但是特别的是因为添加苹果的关系，闻起来反而又有一种甜甜的味道。木头沉稳味道再混上甜甜的苹果香氛，感觉很适合年轻的绅士，沉稳却又不老气。,木质调,苹果,黑胡椒,薰香、香柏,https://www.1976.com.tw/prod/8720,male,木质调,Dunhill,100.0,51.58,13.8
YSL M7 男性淡香水,4950.0,3360.0,80ml,乌木始祖M7的继承人，纯粹的雄性气息，尊贵、霸气、阳刚，不管是男性或女性都本能的无法抗拒M7那超越嗅觉的吸引力。,木质东方调,柑橘,广藿香,法国劳丹脂、没药、沈香木,https://www.1976.com.tw/prod/15294,male,木质调,YSL,80.0,32.12,42.0
Paco Rabanne Black XS 黑骑士男性淡香水(新版),3300.0,1850.0,100ml,实际用起来觉得跟未改版的没有差很多。一喷就会闻到熟悉的浓浓甜果香味却不腻，让人不禁想多吸几口，柠檬的味道也很明显地有出来，柑橘调则没有太大感觉。中后香维持原有类似的檀香的味道，非常喜欢。,木质东方调,加勒比海柠檬、鼠尾草、万寿菊、柑橘调,果仁糖、肉桂、香脂、黑豆蔻,黑琥珀、广藿香、乌木、红木,https://www.1976.com.tw/prod/16577,male,木质调,Paco Rabanne Black,100.0,43.94,18.5
Armaf Club De Nuit Precieux I 夜色珍藏香精,3980.0,2280.0,55ml,Armaf Legesi 男性淡香精的瓶身以黑色为主调，结合银色瓶盖语吊饰侧边的与格纹设计，呈现出强烈的现代感与阳刚气息。整体轮廓方正稳重，展现出粗犷却不失质感的设计，香水1976强力推荐！,木质东方调,佛手柑、柠檬、粉红胡椒、黑胡椒、松苹果、梨子、焦糖,茴香、铃兰、茉莉、白木、橡苔,琥珀、雪松木、皮革、广藿香、白麝香、香草、降龙涎香醚,https://www.1976.com.tw/prod/22890,male,木质调,Armaf Club De Nuit Precieux,55.0,42.71,41.45
Armaf Tag Him 男性淡香水,2680.0,1250.0,100ml,好熟悉的味道，持香度4~5小时，带点温暖柑橘调，适合白天使用，很绅士也很适合办公室主管的男性香味，带点甜甜的阳刚，后味让人有一股安心感，整体而言是斯文型白领绅士，但不太适合给容易流汗的男生用，算是休闲用香水:D,木质调,香柠檬、葡萄柚、柠檬、粉色胡椒,生姜、薄荷、肉荳蔻、核仁、薰衣草,雪松、广藿香、檀木、香根草,https://www.1976.com.tw/prod/14961,male,木质调,Armaf Tag Him,100.0,53.36,12.5
Penhaligon's Endymion Concentre 潘海利根 牧羊少年淡香精版本(恩狄米翁),7300.0,5950.0,100ml,虽然是中性香，但在我身上的味道却暖暖的，柔柔的。女生用也非常适合。对我来说鼠尾草的味道尤为明显。中后段温暖的木质调出来，朋友说有一种小北鼻的香味，有点奶，是让人安心的味道。原本只买了小香试用，因为太喜欢了就直上100ml,东方清新调,佛手柑、薰衣草、鼠尾草,天竺葵、绒面革,肉豆蔻、皮革、薰香,https://www.1976.com.tw/prod/17822,male,清新调,Penhaligon's,100.0,18.49,59.5
Paco Rabanne Black XS 黑骑士男性淡香水,3100.0,2150.0,100ml,一开始是异于一般男香的诱人甜味，让人联想到热带水果的浓郁热情，中段与后段会转成木质调的沉稳，但是不会像一般的木质调这么的严肃强悍，给我的印象比较像是一种轻松自在却又带点神秘忧郁的感觉，算是非常有个人风格的一款香水。曾经有女生拿去喷过，他的体温属于偏低的，味道没有像喷在我身上这么浓烈就是了，结果他还是整瓶抢走说要当睡香。这也是一款很不错的扑倒香，没错，让女生扑倒你这个闻起来香甜绵密丝滑的热情坏小子。,木质东方调,加勒比海柠檬、卡拉曼兹水果,果仁糖、肉桂、、黑豆蔻,黑色琥珀、广藿香、乌木,https://www.1976.com.tw/prod/2622,male,木质调,Paco Rabanne Black,100.0,30.65,21.5
YSL Kouros 科诺诗男性淡香水,4600.0,2550.0,100ml,经典中的经典，品味独具一格，堪为YSL最杰出也最为人所熟知的powerhouse oldschool 的作品，现在根本找不到任何与之相同或类似的产品。前味怪异且刺鼻，但短暂停留后，接著便是超强持久又令人心醉神迷的中后味，仿佛是像夜来香+淡幽的焚香+清新皂香的综合体，舒适又深具魅力，这款是我个人心目中香水的重量级aniki至尊大哥！若想摆脱现今香水市场主流的框架，这款绝对是上乘的首选。,木质东方调,艾草、佛手柑、胡荽,丁香、茉莉,橡木苔、龙涎香、沉香、皮革,https://www.1976.com.tw/prod/6442,male,木质调,YSL,100.0,44.57,25.5
Azzaro The Most Wanted 男性淡香精 (Intense),3200.0,2790.0,50ml,Azzaro The Most Wanted 以馥奇木香琥珀香调开启了新的嗅觉篇章，营造出令人上瘾、精致且富有磁性的香气。,木质调,小荳蔻,太妃糖,琥珀木,https://www.1976.com.tw/prod/21092,male,木质调,Azzaro,50.0,12.81,55.8
Abercrombie & Fitch A&F Fierce 天生无畏 男性古龙水 (肌肉男新版),1800.0,1050.0,30ml,这味道根本是让人变成行走的荷尔蒙，刚开始的味道是非常的浓郁，随著时间拉长，渐变成清新的香味，味道上的变化算是很有层次，是会吸引异性一款香水，会让使用者爱不释手，非常值得推荐！,木质调,海洋微风,麝香,檀香,https://www.1976.com.tw/prod/21999,male,木质调,Abercrombie & Fitch,30.0,41.67,35.0
Armaf Legesi 男性淡香精,3080.0,1380.0,100ml,Chanel Platinum Egoiste 平替版！,木质东方调,薰衣草、迷迭香、苦橙叶,玫瑰、茉莉、白松香、鼠尾草,檀香、麝香、雪松、橡苔,https://www.1976.com.tw/prod/22591,male,木质调,Armaf Legesi,100.0,55.19,13.8
Abercrombie & Fitch A&F Fierce 天生无畏 男性古龙水 (肌肉男新版) TESTER,3090.0,1299.0,100ml 原厂环保纸盒包装，有瓶盖,这味道根本是让人变成行走的荷尔蒙，刚开始的味道是非常的浓郁，随著时间拉长，渐变成清新的香味，味道上的变化算是很有层次，是会吸引异性一款香水，会让使用者爱不释手，非常值得推荐！,木质调,海洋微风,麝香,檀香,https://www.1976.com.tw/prod/22789,male,木质调,Abercrombie & Fitch,100.0,57.96,12.99
Paco Rabanne Pour Homme 出色男性淡香水,3850.0,1699.0,100ml,这款味道是介于YSL Kouros与姬龙雪的Drakkar Noir，兼具这两者气味的特性，成熟低调、率性洒脱，香韵持久厚重、舒爽怡人又百搭，若是钟情于这类的经典老香者，这款绝对是基本必备。,东方清新调,佛手柑、柑橘、香草,茉莉、香橙花、檀香、香根草,木香、麝香,https://www.1976.com.tw/prod/3841,male,清新调,Paco Rabanne Pour Homme,100.0,55.87,16.99
Dunhill Edition 登喜路经典男性淡香水,2600.0,1450.0,100ml,请靠近喷撒处深深的吸一口。薰衣草、胡椒、柠檬的味道深深的在鼻腔内打转，很玄！如此奇特，但又不冲突，反倒越闻越好闻。辨识的极高，但又不高调，很有个性的一支香水！p.s：拿来运动使用，和著汗水散发的香气很迷人！,柑橘清新调,薰衣草、肉荳蔻、佛手柑、柠檬,康乃馨、茉莉、天竺葵、百合、鼠尾草、仙客来,香根草、橡树苔、雪松、琥珀、陵香豆、冷杉,https://www.1976.com.tw/prod/2662,male,清新调,Dunhill,100.0,44.23,14.5
Armaf Ventana 文塔纳男性淡香精,3280.0,1350.0,100ml,推荐给喜欢Dior Sauvage 旷野之心的你！,木质东方调,葡萄柚、柠檬、橘子,薰衣草、天竺葵、广藿香、香根草,雪松、琥珀、珍贵木材,https://www.1976.com.tw/prod/18986,male,木质调,Armaf Ventana,100.0,58.84,13.5
Azzaro The Most Wanted 头号通缉犯男性香精 Parfum,4000.0,3450.0,100ml,Azzaro The Most Wanted 以辛辣木香调开启了新的嗅觉篇章，营造出令人上瘾、精致且富有磁性的香气。,木质东方调,生姜,木质调,香草,https://www.1976.com.tw/prod/21823,male,木质调,Azzaro,100.0,13.75,34.5
Michael Kors 经典男性淡香精,4100.0,2460.0,100ml,Michael Kors 经典男性淡香精充满活力和欢愉，佛手柑和薰衣草的清新香气，混合著粉红胡椒的清新。随著时间推移，鼠尾草和天竺葵的香气交织，展现出现代男性的自信与魅力。广藿香、香根草和琥珀的温暖香气如同夕阳下的沙滩，带来无尽的温暖与舒适。,草香清新调,粉红胡椒、薰衣草、佛手柑,鼠尾草、海洋调、天竺葵,琥珀、香根草、广藿香,https://www.1976.com.tw/prod/23152,male,清新调,Michael Kors,100.0,40.0,24.6
Michael Kors 经典男性淡香精迷你瓶,900.0,290.0,5ml 抹式,Michael Kors 经典男性淡香精充满活力和欢愉，佛手柑和薰衣草的清新香气，混合著粉红胡椒的清新。随著时间推移，鼠尾草和天竺葵的香气交织，展现出现代男性的自信与魅力。广藿香、香根草和琥珀的温暖香气如同夕阳下的沙滩，带来无尽的温暖与舒适。,草香清新调,粉红胡椒、薰衣草、佛手柑,鼠尾草、海洋调、天竺葵,琥珀、香根草、广藿香,https://www.1976.com.tw/prod/21489,male,清新调,Michael Kors,5.0,67.78,58.0
Davidoff Champion 王者风范男性淡香水,2900.0,1100.0,90ml,君临天下的感觉闻起来很强壮，让人信任的味道却带有点运动风，冲业绩的时候就喷上他吧,柑苔调,佛手柑、柠檬,白松、鼠尾草,雪松、橡苔,https://www.1976.com.tw/prod/8047,male,柑橘调,Davidoff,90.0,62.07,12.22
Kenneth Cole Mankind HERO 当代英雄男性淡香水,2700.0,1490.0,100ml,我觉得前中味有梅子的味道，后味是舒服的木质味。冬天出去一整天回家隐约还可以闻到，留香时间应该5~7小时没问题。适合冬天使用的香水，女生朋友对这个味道也觉得不错。,木质东方调,清新山林、义大利柠檬、芫荽籽,桃木、薰衣草、快乐鼠尾草、黑色香草,香豆素、琥珀木、白苔癣、麝香,https://www.1976.com.tw/prod/15113,male,木质调,Kenneth Cole Mankind,100.0,44.81,14.9
Loewe Solo Atlas 阿特拉斯男性淡香精,4450.0,2450.0,50ml,这是一款偏甜的中性橙花香，前调由粉红胡椒带出点辛辣感，尔后则是橙花筑起的柔润甜美大衣，持续约6至8个小时，但也不会让人窒息，反而能一直沉浸在花香气息中，带点特色又实穿。,柑橘花香调,橙花、柑橘、粉红胡椒,橙花、苦橙叶、乳香、扁豆、盐,乳香、海地香根草、麝香、铃兰、牡丹、琥珀,https://www.1976.com.tw/prod/20031,male,柑橘调,Loewe,50.0,44.94,49.0
Armaf Le Parfait 极致完美男性香水,2390.0,1180.0,100ml,Creed 爱尔兰之心的完美诠释。磁吸瓶盖、与瓶身创意有俐落高档的感觉。前味出来丰富清爽，凤梨柠檬醋栗的果香搭载著分子较大的佛手柑；个人觉得中味是无玫瑰与茉莉，但反而薰衣草的花香调，后味就是ambroxane、musk干燥感。一闻到这款香水，我脑中立刻浮现爱尔兰国球rugby，在青草地上装甲般的肌肉大个相互碰撞，青草味、男性贺尔蒙弥漫在空气中，超适合爽朗阳光的男子汉！,柑橘调,佛手柑、黑醋栗、凤梨、柠檬,玫瑰、辛香料、茉莉,龙涎香、麝香、香草、广藿香,https://www.1976.com.tw/prod/17066,male,柑橘调,Armaf Le Parfait,100.0,50.63,11.8
Abercrombie & Fitch Authentic 真我男性淡香水,3100.0,1499.0,100ml,前味是丰富的葡萄柚与香柠檬，带有点汽水的甜味，搭配上粉红胡椒提升了整体香水的活力，而这柑橘味也不会很快退场，在中后味浮现薰衣草、鼠尾草与白麝香之后仍会隐藏其中持续展现青春的活力，但整体氛围逐渐趋近干净的皂香，就像刚洗好澡围著白色毛巾、身体仍飘著水气的阳刚型男孩，洁净、舒适、充满热情。整体上来说此款香水带著男香的木质基因，但不会过于厚重或是具有攻击性，不同性别气质的人都可以尝试看看。,木质调,葡萄柚、佛手柑、粉红胡椒,薰衣草、鼠尾草、生姜、紫罗兰叶,LEARWOOD®、AMBROX®、白苔、绒,https://www.1976.com.tw/prod/16944,male,木质调,Abercrombie & Fitch,100.0,51.65,14.99
Ralph Lauren Polo 绿马球男性淡香水(指间烟岚),3650.0,2180.0,125ml,此款香水的味道很有其个性，喜欢的人非常喜欢，不喜欢的人觉得像药味，其中的皮革烟草味很有男人的个性。我个人是相当喜欢这款香水，在泰国遇到的柜姐就说药味很浓。就因为其有别于其他香水的同质性，个性鲜明的男子不妨尝试。,木质调,薰衣草、松木,青草、甘椒、丁香,皮革、烟草、橡树苔、薄荷油、香根草,https://www.1976.com.tw/prod/2572,male,木质调,Ralph Lauren,125.0,40.27,17.44
Armaf Shades Wood 男性淡香水,3280.0,1350.0,100ml,有点似Kilian Rose Oud，中后调个人觉得算好闻4小时左右，比想像中一般EDT还要久，相当适合偏冷夜晚的季节穿搭，尤其以这个价钱还能有这类沉香味道，这品牌蛮多香水果然是很会~,木质花香调,柑橘、玫瑰、天竺葵,丁香、小茴香、胡椒,雪松、沉香木、檀木,https://www.1976.com.tw/prod/16877,male,木质调,Armaf Shades Wood,100.0,58.84,13.5
Ralph Lauren Polo 马球男性淡香水 TESTER,3650.0,1680.0,125ml 原厂环保纸盒包装，有瓶盖,味道很有其个性，喜欢的人非常喜欢，不喜欢的人觉得像药味，其中的皮革烟草味很有男人的个性。我个人是相当喜欢这款香水，在泰国遇到的柜姐就说药味很浓。就因为其有别于其他香水的同质性，个性鲜明的男子不妨尝试。,东方清新调,松木、薰衣草,丁香、甘椒、青草味,皮革、香根草、烟草、橡树苔、薄荷油,https://www.1976.com.tw/prod/13303,male,清新调,Ralph Lauren,125.0,53.97,13.44
Abercrombie & Fitch Authentic 真我男性淡香水 TESTER,3100.0,1080.0,100ml 原厂环保纸盒包装，有瓶盖,磁吸式的瓶盖搭配若宝石般的切割面，前味有淡淡的葡萄柚。是一款留香短暂的皂香吧，后面我只闻到薰衣草，不过那个手工黏贴的浮字标签蛮有质感。,木质调,葡萄柚、佛手柑、粉红胡椒,薰衣草、鼠尾草、生姜、紫罗兰叶,LEARWOOD®、AMBROX®、白苔、绒,https://www.1976.com.tw/prod/17685,male,木质调,Abercrombie & Fitch,100.0,65.16,10.8
Azzaro Pour Homme 经典男性淡香水,2550.0,1450.0,100ml,非常好闻，就像YAN和ZERO大讲的一样，真的就是印象里高级理发厅在洗头水时散发出的香氛，柔合又丰富的木质调花香气，非常值得收藏，冬天用非常的棒，算是CP值很高的一款香水,木质调,薰衣草、鼠尾草、佛手柑、柠檬,檀香、雪松、香根草、广藿香,琥珀、麝香、橡苔,https://www.1976.com.tw/prod/13389,male,木质调,Azzaro,100.0,43.14,14.5
